EUW1_6937347229,2.28333,BLUE,None,0,None,0
EUW1_6937350072,36.15,BLUE,BLUE,5,RED,0
EUW1_6937356156,42.7333,BLUE,BLUE,6,BLUE,0
EUW1_6937376528,33.8667,BLUE,BLUE,5,None,0
EUW1_6937384511,30.7,RED,RED,4,RED,0
EUW1_6937402164,25.7167,BLUE,RED,4,BLUE,0
EUW1_6937404373,31.7833,BLUE,RED,5,BLUE,0
EUW1_6937423349,34.5667,RED,BLUE,5,BLUE,0
EUW1_6937476340,28.7167,BLUE,BLUE,3,BLUE,0
EUW1_6937513776,25.6333,BLUE,RED,3,BLUE,0
EUW1_6937515222,8.26667,RED,None,0,None,1
EUW1_6937551872,34.1833,RED,BLUE,4,BLUE,0
EUW1_6937561186,24.5667,BLUE,BLUE,4,None,1
EUW1_6937594284,15.4833,RED,RED,1,None,1
EUW1_6937595541,38.7667,BLUE,RED,4,RED,1
EUW1_6937600038,23.5,RED,RED,3,RED,0
EUW1_6937606015,31.9833,BLUE,RED,5,BLUE,0
EUW1_6937627752,23.2833,RED,RED,3,None,1
EUW1_6937637961,45.1167,RED,RED,6,RED,0
EUW1_6937681955,26.0333,RED,RED,2,RED,0
EUW1_6937717306,32.0667,BLUE,RED,4,BLUE,0
EUW1_6937769179,25.85,RED,BLUE,4,RED,0
EUW1_6937773311,37.4667,RED,RED,5,None,1
EUW1_6937777112,24.6667,RED,BLUE,3,RED,0
EUW1_6937829797,22.0167,RED,RED,3,RED,1
EUW1_6937851444,28.0333,RED,RED,4,None,0
EUW1_6937854133,21.6167,BLUE,RED,3,None,0
EUW1_6937888948,30.85,BLUE,BLUE,5,BLUE,0
EUW1_6937903341,23.0833,BLUE,BLUE,3,None,0
EUW1_6937916679,28.85,BLUE,RED,3,BLUE,0
EUW1_6937950005,34.4667,BLUE,RED,5,BLUE,0
EUW1_6937951442,36.4167,RED,BLUE,4,RED,0
EUW1_6938009148,45.2167,BLUE,BLUE,6,RED,0
EUW1_6938017213,36.0833,RED,RED,5,RED,0
EUW1_6938026756,28.7167,BLUE,BLUE,5,BLUE,1
EUW1_6938114674,34.8,RED,RED,5,RED,0
